Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",152.27,680.613,584.223,182.747,110.046,33.8353,2.3554,36.51,123.785,95.9983,80.3505,4.15411,106.701,10.5314,4.19768,1.31081,10.1911,53.7172,12.3307,0.312803,0.118056,0.156772,0.753044,0.402808,0.566262,0.409893,0.96907,0.253458,6.49591,0.328467,1.10521,4.02274,134.66,51.7311,158.507,5.12795,0.388448,54.46003818511963,-6.8549014031887054,7.05861,1.0199999809265137,5.44228,-0.709678,1.1886,"18401"
"Aaron Judge","NYY",142.755,622.171,514.677,141.36,74.2566,22.1802,0.359429,44.5634,103.022,109.434,98.9342,9.6601,167.414,3.91715,4.27517,0.367552,8.8764,6.98883,2.38168,0.274657,0.159015,0.269081,0.590955,0.392746,0.578905,0.405075,0.971651,0.304248,3.35915,0.315323,0.0523245,-0.897696,120.608,44.7997,159.27,-0.845372,-0.601575,44.088821053504944,-3.8357880115509033,6.12441,10.84000015258789,2.7973,0.72396,1.47851,"15640"
"Juan Soto","NYY",152.897,664.569,528.774,147.884,82.7797,26.8245,1.58226,36.6974,104.73,100.066,127.485,8.60978,109.583,3.62608,3.69126,0.992063,14.8712,10.6115,3.54735,0.279673,0.191832,0.164894,1.16337,0.420442,0.54459,0.408884,0.965032,0.264917,4.01291,0.28791,-1.07928,-0.956673,130.928,49.9545,161.865,-2.03595,-1.11361,48.0622296333313,-10.23547613620758,6.02629,11.5600004196167,1.95947,0.113742,0.963277,"20123"
"Mookie Betts","LAD",148.891,660.633,565.526,159.895,90.2344,35.125,1.8007,32.7352,110.961,93.971,80.5913,2.11644,103.501,8.49076,4.74634,1.27799,7.33633,12.8149,3.24864,0.282737,0.121991,0.15667,0.778652,0.377608,0.524869,0.384224,0.902477,0.242132,4.96382,0.292971,0.77349,-0.173544,116.623,36.1291,145.058,0.599947,0.402921,36.87183552980423,0.23710685968399048,5.94136,5.159999847412109,2.00732,0.112195,0.877286,"13611"
"Yordan Alvarez","HOU",139.007,598.524,505.318,149.408,78.3411,30.8144,1.65832,38.5944,94.7501,107.199,78.3128,5.6134,116.02,9.76103,5.03049,0.101422,9.97853,0.711213,0.300435,0.295672,0.130843,0.193844,0.674992,0.396847,0.592345,0.413441,0.989192,0.296673,2.58427,0.311508,-0.316063,-1.22356,120.182,47.2552,168.465,-1.53962,-0.681707,47.560646176338196,-13.034937381744385,5.47061,16.510000228881836,2.21157,-0.56578,1.50265,"19556"
"Julio Rodríguez","SEA",150.592,662.072,597.908,167.685,100.021,33.4208,2.74218,31.5009,98.8582,91.8954,50.7964,5.04633,154.575,9.5843,2.69598,1.08669,9.99076,31.9242,8.0403,0.280452,0.0767234,0.233471,0.32862,0.345039,0.503577,0.359894,0.848616,0.223124,6.15917,0.328527,0.443777,1.79418,103.499,22.8296,134.779,2.23796,-0.0525551,29.828232288360596,2.0777339711785316,5.42467,2.9100000858306885,2.50807,-1.60484,0.374221,"23697"
"José Ramírez","CLE",151.049,655.012,575.009,159.574,92.6956,36.4267,4.03737,26.4138,89.6422,94.3025,68.9905,10,75.765,4.52684,6.03073,0.455324,7.26447,23.9508,6.57446,0.277515,0.105327,0.11567,0.910585,0.356105,0.492717,0.357954,0.848821,0.215202,5.69834,0.278076,0.985091,0.811591,101.34,21.5306,131.26,1.79668,1.41321,26.33087933063507,1.7812581062316895,5.02245,14.90999984741211,3.6486,-2.14188,0.320836,"13510"
"Corey Seager","TEX",129.112,565.89,501.122,147.313,84.7722,31.8551,1.07272,29.6133,84.1334,88.3274,53.9467,5.7557,91.2645,5.46783,4.52012,0.833298,10.2224,2.32307,0.815423,0.293967,0.0953307,0.161276,0.591103,0.365853,0.539097,0.380781,0.90495,0.245131,3.04227,0.305901,-0.320161,-0.946186,98.28,29.3295,142.558,-1.26635,-1.70479,27.590165376663208,2.352179527282715,4.90301,24.90999984741211,3.7451,0.687253,1.08277,"13624"
"Adley Rutschman","BAL",142.283,601.254,515.031,139.412,89.3266,30.3002,1.22732,18.5578,78.07,69.4697,76.3146,2.87269,94.4738,4.79053,4.08388,1.03429,10.8025,2.2044,0.967986,0.270686,0.126926,0.157128,0.807786,0.367394,0.442381,0.351929,0.809775,0.171695,2.81322,0.297609,0.637556,-1.25875,90.0144,16.755,127.276,-0.621192,3.8031,19.029290199279785,9.626558780670166,4.89453,51.84000015258789,3.07841,-2.06188,0.608793,"26288"
"Gunnar Henderson","BAL",145.272,620.14,547.859,142.779,82.2391,28.8629,5.63567,26.0417,89.8728,80.5236,62.8662,1.39102,154.3,4.76458,3.46763,1.18309,9.47215,11.8564,2.83191,0.260614,0.101374,0.248815,0.407428,0.339943,0.476471,0.349354,0.816414,0.215858,5.89377,0.31467,0.490505,0.0319531,91.5157,15.9552,125.492,0.522458,4.47189,19.464116275310516,7.885623931884766,4.82827,31.06999969482422,2.28799,-0.588812,0.495127,"26289"
"Freddie Freeman","LAD",153.358,677.836,587.301,179.672,113.007,39.0865,1.91457,25.6638,108.99,95.3253,75.3264,9.02054,108.074,9.66059,4.63021,0.917986,10.6937,14.772,3.4507,0.305928,0.111128,0.15944,0.696989,0.390976,0.510094,0.383201,0.901069,0.204166,4.98187,0.33612,-0.0529523,0.0418821,119.084,36.494,144.361,-0.0110702,0.500891,36.629421312361956,-11.332266926765442,4.82188,8.710000038146973,4.0779,0.511086,1.1768,"5361"
"Fernando Tatis Jr.","SDP",148.253,647.221,575.669,157.052,88.7145,32.8324,1.95977,33.5457,98.2498,94.2565,61.6849,1.9232,145.32,4.52613,4.26144,1.0791,11.2452,27.996,6.32449,0.272817,0.0953073,0.224529,0.424476,0.345533,0.511477,0.363708,0.85701,0.23866,5.74428,0.307947,0.466356,1.75087,103.227,24.3673,131.075,2.21723,5.95891,26.724481105804443,-0.5233588218688965,4.80817,8.470000267028809,4.85124,-0.919728,0.421173,"19709"
"Bobby Witt Jr.","KCR",150.35,651.29,598.778,167.561,98.765,32.8453,6.85446,29.0964,98.0302,89.3458,39.8023,1.63625,119.02,5.52432,5.78283,1.4022,7.1242,40.9118,9.68636,0.279839,0.0611131,0.182745,0.334418,0.327576,0.503366,0.351178,0.830943,0.223527,7.49469,0.303355,-0.0573966,2.99633,97.0992,17.7434,122.535,2.93894,-1.84567,20.82313108444214,5.114983558654785,4.79574,2.359999895095825,3.66777,0.0724494,0.870434,"25764"
"Corbin Carroll","ARI",147.976,632.371,553.985,153.6,91.9152,30.2027,8.00116,23.4808,101.177,76.9694,60.4733,1.81381,129.934,11.2066,3.30293,3.40282,8.10412,45.1676,6.44799,0.277264,0.0956295,0.205471,0.465417,0.358174,0.487824,0.362353,0.845998,0.210561,8.34757,0.322178,-0.751421,5.06542,100.148,23.097,127.823,4.314,5.83292,26.110782623291016,-0.17031478881835938,4.73442,4.730000019073486,2.82204,-0.486,1.39537,"25878"
"Austin Riley","ATL",152.389,664.359,590.468,164.876,93.0578,31.8313,2.18493,37.8019,99.7936,102.854,57.2174,3.16199,158.72,10.2613,6.30334,0.109405,11.9955,2.37919,0.581443,0.279229,0.0861242,0.238906,0.360494,0.3498,0.5326,0.37207,0.8824,0.25337,3.38981,0.317487,-0.331328,-0.982167,110.575,29.6267,133.151,-1.3135,-4.55427,25.971466302871704,-2.396549701690674,4.60717,19.889999389648438,2.79073,0.0406931,1.33848,"18360"
"Kyle Tucker","HOU",151.306,641.915,562.803,157.849,90.1584,33.6594,3.39253,30.6385,93.9122,102.528,69.8527,5.45075,95.0203,3.0145,5.94603,0.299089,9.00201,25.3253,5.40626,0.280469,0.108819,0.148026,0.735135,0.359586,0.51565,0.369658,0.875236,0.23518,5.67985,0.287098,0.268783,1.56906,105.553,27.3397,138.118,1.83784,0.168487,31.156362652778625,-6.932690426707268,4.59032,6.110000133514404,2.76994,-0.897896,0.353354,"18345"
"Shohei Ohtani","LAD",139.013,605.461,512.491,143.683,74.3247,26.5318,4.94817,37.8784,100.096,99.1922,84.7057,9.70713,146.176,4.39644,3.35037,0.517577,7.86051,18.1151,6.83879,0.280362,0.139903,0.241429,0.579478,0.384805,0.573174,0.399257,0.957979,0.292812,5.88254,0.318893,0.3092,-0.447914,114.442,40.6705,155.304,-0.138714,-0.474529,40.66270039975643,-15.491364747285843,4.56382,12.869999885559082,5.02059,-0.119301,0.631524,"19755"
"Rafael Devers","BOS",148.185,641.364,568.975,160.52,90.0726,34.7565,1.33305,34.3574,92.0245,98.479,60.3303,7.39129,121.518,7.81707,3.6362,0.604778,12.529,4.37306,1.74641,0.28212,0.0940656,0.189468,0.496472,0.356869,0.529046,0.372901,0.885915,0.246926,3.31432,0.302738,0.217458,-1.02466,107.19,29.0439,133.329,-0.807205,-3.22484,24.80547398328781,-2.478615403175354,4.39931,23.780000686645508,3.23286,-0.367139,1.0786,"17350"
"Matt Olson","ATL",152.54,662.225,564.408,150.641,80.5997,28.6512,1.4167,39.9736,101.803,111.57,86.8855,5.88326,148.167,5.74298,4.90116,0.286781,11.4715,1.07461,0.3992,0.266901,0.131202,0.223741,0.586402,0.367511,0.535156,0.380517,0.902667,0.268255,2.54972,0.290338,0.0641238,-1.24298,114.865,34.1772,138.814,-1.17886,1.49188,30.66409170627594,-10.278161406517029,4.28193,17.270000457763672,2.35538,0.263448,1.653,"14344"
"Alex Bregman","HOU",148.635,651.484,554.17,146.013,91.1763,30.631,1.74833,22.4569,91.6066,85.6069,82.8471,1.18279,79.0675,8.40027,5.26624,0.799888,13.9538,2.22191,0.829503,0.26348,0.127167,0.121365,1.0478,0.364632,0.446633,0.352951,0.811265,0.183154,3.01377,0.269824,-0.908076,-1.30222,98.0872,18.7078,126.538,-2.21029,-0.0989491,18.505764484405518,2.00562534481287,4.25256,100.08999633789062,1.63319,-1.32264,0.883272,"17678"
"Mike Trout","LAA",125.995,547.639,466.058,123.53,65.0929,23.7682,1.99461,32.674,84.1491,82.1358,69.4381,5.38518,151.97,8.81007,2.76406,0.568612,5.4903,2.84271,0.86219,0.265052,0.126796,0.277501,0.456919,0.368834,0.534931,0.381385,0.903765,0.269879,3.7392,0.319715,0.194337,-0.858337,95.3849,28.6583,143.474,-0.664,-3.37738,27.863090097904205,-4.025496780872345,4.23242,72.37999725341797,3.13521,-0.618782,0.92169,"10155"
"Francisco Lindor","NYM",152.551,653.395,576.508,146.117,89.4942,27.8745,2.08185,26.6669,91.728,87.5817,61.0235,1.67804,125.361,9.09994,5.28844,1.47498,8.86817,22.0606,4.93105,0.253452,0.0933945,0.19186,0.486784,0.331698,0.447792,0.335668,0.779491,0.19434,5.54903,0.277941,-0.540455,1.11388,88.9965,9.38412,111.964,0.573429,2.61374,10.098800420761108,9.67629599571228,4.18832,24.979999542236328,2.94883,0.145598,0.751449,"12916"
"Will Smith","LAD",124.682,515.598,441.611,115.604,69.3444,23.1927,1.9115,21.155,70.3508,74.7823,55.5521,2.08637,87.2197,11.5835,6.75392,0.0975088,7.87976,2.04625,0.43905,0.261777,0.107743,0.169162,0.636922,0.354489,0.466664,0.352653,0.821153,0.204887,3.39856,0.277798,-0.962788,-0.811582,77.5009,14.6783,123.54,-1.77437,2.64307,13.015367984771729,11.109132289886475,4.15461,87.33000183105469,2.53909,-0.435199,0.479052,"19197"
