Name,AB,H,HR,R,RBI,BB,SO,NSB,AVG,OBP,SLG,OPS,wRC+,WAR,PlayerID,Score
Ronald Acuña Jr.,584.223,182.747,36.51,123.785,95.9983,80.3505,106.701,41.3865,0.312803,0.402808,0.566262,0.96907,158.507,7.05861,18401,117.27480489850335
Aaron Judge,514.677,141.36,44.5634,103.022,109.434,98.9342,167.414,4.607150000000001,0.274657,0.392746,0.578905,0.971651,159.27,6.12441,15640,111.38796177990294
Juan Soto,528.774,147.884,36.6974,104.73,100.066,127.485,109.583,7.06415,0.279673,0.420442,0.54459,0.965032,161.865,6.02629,20123,111.40981272375542
Mookie Betts,565.526,159.895,32.7352,110.961,93.971,80.5913,103.501,9.56626,0.282737,0.377608,0.524869,0.902477,145.058,5.94136,13611,87.6923187501013
Yordan Alvarez,505.318,149.408,38.5944,94.7501,107.199,78.3128,116.02,0.410778,0.295672,0.396847,0.592345,0.989192,168.465,5.47061,19556,110.36857246048888
Julio Rodríguez,597.908,167.685,31.5009,98.8582,91.8954,50.7964,154.575,23.883899999999997,0.280452,0.345039,0.503577,0.848616,134.779,5.42467,23697,70.97568404995383
José Ramírez,575.009,159.574,26.4138,89.6422,94.3025,68.9905,75.765,17.37634,0.277515,0.356105,0.492717,0.848821,131.26,5.02245,13510,68.92360790377744
Corey Seager,501.122,147.313,29.6133,84.1334,88.3274,53.9467,91.2645,1.507647,0.293967,0.365853,0.539097,0.90495,142.558,4.90301,13624,79.68526028388877
Adley Rutschman,515.031,139.412,18.5578,78.07,69.4697,76.3146,94.4738,1.2364140000000001,0.270686,0.367394,0.442381,0.809775,127.276,4.89453,26288,50.11066904645531
Gunnar Henderson,547.859,142.779,26.0417,89.8728,80.5236,62.8662,154.3,9.02449,0.260614,0.339943,0.476471,0.816414,125.492,4.82827,26289,54.107571273536216
Freddie Freeman,587.301,179.672,25.6638,108.99,95.3253,75.3264,108.074,11.3213,0.305928,0.390976,0.510094,0.901069,144.361,4.82188,5361,86.35818207639552
Fernando Tatis Jr.,575.669,157.052,33.5457,98.2498,94.2565,61.6849,145.32,21.671509999999998,0.272817,0.345533,0.511477,0.85701,131.075,4.80817,19709,74.06521037864559
Bobby Witt Jr.,598.778,167.561,29.0964,98.0302,89.3458,39.8023,119.02,31.22544,0.279839,0.327576,0.503366,0.830943,122.535,4.79574,25764,64.28740073435188
Corbin Carroll,553.985,153.6,23.4808,101.177,76.9694,60.4733,129.934,38.71961,0.277264,0.358174,0.487824,0.845998,127.823,4.73442,25878,67.58441562507862
Austin Riley,590.468,164.876,37.8019,99.7936,102.854,57.2174,158.72,1.7977469999999998,0.279229,0.3498,0.5326,0.8824,133.151,4.60717,18360,80.2471177657876
Kyle Tucker,562.803,157.849,30.6385,93.9122,102.528,69.8527,95.0203,19.91904,0.280469,0.359586,0.51565,0.875236,138.118,4.59032,18345,79.02050288489264
Shohei Ohtani,512.491,143.683,37.8784,100.096,99.1922,84.7057,146.176,11.276310000000002,0.280362,0.384805,0.573174,0.957979,155.304,4.56382,19755,102.65125725890547
Rafael Devers,568.975,160.52,34.3574,92.0245,98.479,60.3303,121.518,2.6266499999999997,0.28212,0.356869,0.529046,0.885915,133.329,4.39931,17350,79.42134322042371
Matt Olson,564.408,150.641,39.9736,101.803,111.57,86.8855,148.167,0.6754100000000001,0.266901,0.367511,0.535156,0.902667,138.814,4.28193,14344,89.3041959665847
