Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",15.2387,6.39544,14.7669,3.38694,29.5689,29.5689,0,0,178.53,717.329,133.871,73.028,67.1858,20.4618,59.1008,1.11108,7.2192,250.677,12.637,2.97936,4.24151,1.03151,0.349458,0.08239,0.26706843823194504,0.205636,1.08089,0.298546,0.729916,,,3.05121,4.98539,4.57992,7.019999980926514,5.5901,-1.36764,1.52557,"27498"
"Zack Wheeler","PHI",12.8132,8.28383,16.2438,3.51622,29.7438,29.7438,0,0,186.793,758.63,164.262,79.3246,72.9786,20.8426,44.3494,0.95188,8.31725,194.181,9.35595,2.13682,4.37844,1.00423,0.255963,0.0584599,0.1975030079483986,0.232678,1.1168,0.292133,0.720535,,,3.47234,4.83775,4.41535,24.06999969482422,2.53732,-1.52983,1.15889,"10310"
"Logan Webb","SFG",12.0629,9.55745,16.1973,3.41537,29.833,29.833,0,0,191.217,783.474,181.118,78.8738,72.5639,15.9984,40.6022,0.60349,7.22514,170.826,8.04028,1.91102,4.20732,0.752999,0.218037,0.0518233,0.16621365398168564,0.246203,1.15952,0.300862,0.71666,,,3.30634,4.55405,4.56636,55.90999984741211,3.80331,0.276625,1.06378,"17995"
"Kevin Gausman","TOR",12.333,8.72458,15.6835,3.43443,29.7456,29.7456,0,0,182.738,744.268,161.909,75.7972,69.7334,22.4569,48.1209,0.691251,4.2975,212.889,10.485,2.37,4.42404,1.10602,0.286038,0.0646554,0.22138270735740662,0.234024,1.14935,0.305479,0.751625,,,3.38319,4.47469,4.11767,27.799999237060547,3.43049,-0.120491,1.13069,"14107"
"Aaron Nola","PHI",11.9919,8.9991,13.8547,3.89464,29.7161,29.7161,0,0,186.011,754.571,168.48,87.4936,80.4941,26.0245,40.5057,0.8952,6.15243,194.952,9.43262,1.95984,4.81296,1.25917,0.258362,0.0536805,0.20468159019947052,0.237996,1.12351,0.292556,0.704093,,,3.73022,4.14711,3.49331,52.84000015258789,3.03935,-1.46506,1.23694,"16149"
"Pablo López","MIN",12.3602,8.34901,14.9228,3.51634,29.9527,29.9527,0,0,184.514,754.173,161.447,78.3592,72.0905,21.4823,48.8644,1.3747,8.77084,204.006,9.95076,2.38345,4.17495,1.04784,0.270503,0.064792,0.2057112157344818,0.231785,1.13981,0.297133,0.732107,,,3.49439,3.98334,4.04256,34.66999816894531,3.80373,-0.254027,1.07943,"17085"
"Gerrit Cole","NYY",13.6592,7.71061,16.8074,3.51419,30.4744,30.4744,0,0,194.898,783.979,164.204,82.7184,76.1009,27.3105,48.9526,0.546936,5.6183,218.418,10.0861,2.26054,4.46182,1.26114,0.278602,0.0624412,0.21616028994321823,0.22512,1.09369,0.283026,0.745695,,,3.67533,3.95392,4.4058,12.890000343322754,5.11667,0.695748,1.3685,"13125"
"George Kirby","SEA",12.0932,8.85929,15.216,3.56984,29.8298,29.8298,0,0,181.218,729.85,170.537,78.1301,71.8797,22.0355,27.0121,0.984272,6.76998,170.799,8.48258,1.34153,6.32306,1.09437,0.23402,0.0370105,0.19700904563069344,0.245,1.09012,0.295094,0.716373,,,3.51004,3.80617,3.50775,33.79999923706055,2.72534,-3.03668,1.24727,"25436"
"Tarik Skubal","DET",10.2222,9.0095,11.8839,3.43888,27.5729,27.5729,0,0,154.556,625.999,131.957,64.1909,59.0556,17.0458,40.8203,0.527513,5.29102,176.761,10.293,2.37701,4.33024,0.992597,0.282367,0.0652082,0.2171587124466896,0.227557,1.11789,0.297636,0.729193,,,3.29649,3.79702,3.63987,49.97999954223633,3.85144,0.185971,1.00996,"22267"
"Zach Eflin","TBR",12.025,8.50116,12.9449,3.63123,28.2691,28.2691,0.00300696,0,165.444,668.404,153.765,72.5563,66.7518,20.2119,29.1447,1.56945,5.70554,160.689,8.74135,1.58544,5.51351,1.09951,0.240408,0.0436034,0.19680429622530937,0.242703,1.10557,0.295047,0.71374,,,3.53264,3.70467,3.42212,80.47000122070312,3.08556,-0.0220012,1.09179,"13774"
